English,Nepali,Alias(es),WikiData item
Aches & Pain,दुखाइ र पीडा,,Q4673620
Acute Respiratory Stress Syndrome (ARDS),तीव्र श्वासप्रश्वासको समस्या सिन्ड्रोम (एआरडीएस),,
Airborne,हावाबाट सर्ने,,
Antibiotics,रोग प्रतिरोधक औषधी,,
Antibodies,रोग प्रतिरोधक तत्व,,
Asymptomatic,लक्षण नभएको,,Q1707292
Avoid Touching,नछुनु ,,
Avoid Travel,यात्रा नगर्नु ,,
BiPAP Machine,बीआईपीएपी मशीन,,
Blood Vessel,रक्तनली ,,
Blood Vessels,रक्त नलीहरु,,
Cardiovascular Complications,हृदयको जटिलता  ,,
Cardiovascular System,हृदय प्रणाली,,
Case Fatality Rate,मृत्यु दर,,Q92307203
Case Management,बिरामीको व्यवस्थापन,,
Chloroquine,क्लोरोकीन ,,
Clinical Trial,क्लिनिकल ट्रायल,स्वास्थ्य प्रयोगशाला परिक्षण,Q30612
Communicate Challenges,सञ्चार चुनौतिहरू,,
Community Spread,सामुदायिक संक्रमण,,
Confirmed Positive Case,संक्रमण देखिएको केस,,
Conspiracy Theorists,गोप्य परिकल्पनाकारहरु,,
Contact Tracing,सम्पर्कमा रहेको व्यक्ति पछ्याउनु,सम्पर्क ट्रेसि,Q1128437
Contagious,संक्रामक,,
Containment Area,रोकथामको लागी नियन्त्रित क्षेत्र,,
Contaminated Objects,दुषित बस्तुहरु ,,Q97465985
Coronavirus,कोरोनाभाइरस,,
Cough,खोकी,,
Covid-19,कोभिड-१९,,
Covid-19 Patients,कोभिड-१९ बिरामीहरू,,
Crisis,संकट,,
Decontaminated,निष्क्रिय,,
Diarrhoea,पखाला,,
Disease Outbreak,रोगको प्रकोप,,Q3241045
Disinfect,कीटाणुहरू निष्क्रिय गर्नु,,
District Hospital,जिल्ला अस्पताल,,
Droplet Transmission,मसिना थोपाहरु बाट संक्रमण हुनु,,Q97465878
Dry Cough,सुख्खा खोकी,,Q97464125
Elderly People,बृद्धहरु ,,Q2191986
Enclosed Spaces,बन्द स्थानहरू,,
Endothelial Cells ,भित्री कोषहरू,,
Epidemic,महामारी,,
Epidemiologists,महामारी विशेषज्ञ,महामारी बैज्ञानिक,
Epidemiology,महामारी विज्ञान,,
Essential Business,अत्यावश्यक व्यवसाय ,,
Fatigue,थकान,,Q9690
Fever,ज्वरो,,
Flatten The Curve,बक्ररेखालाई समतल पार्नु ,,
Gastrointestinal Organs,पाचन प्रणालीको अंगहरू,,Q97466029
Genetic Sequence,आनुवंशिक अनुक्रम,,
Glandular Cells,ग्रंथि कोशिका,,
Hand Hygiene,हातको सरसफाई ,,
Hand Sanitizer,ह्यान्ड स्यानीटाइजर,,
Hand-washing,हात धुनु ,,
Health Ministry,स्वास्थ्य मन्त्रालय,,Q1519799
Health Professional,स्वास्थ्य विज्ञ,,Q11974939
Healthcare Provider,स्वास्थ्य सेवा प्रदायक ,,Q55645123
Healthy People,स्वस्थ मानिस,,
Herd Immunity,बथानको रोग प्रतिरोध क्षमता,,
Higher Risk,उच्च जोखिम,,
Hotspot,केन्द्र बिन्दु,जोखिमपूर्ण क्षेत्र,
Human Body,मानव शरीर,,
Hydroxychloroquine,हाइड्रोक्सीक्लोरोक्विन ,,
Immunology,प्रतिरक्षा विज्ञान,,
Incubation Period,उष्मायन अवधि,,
Infection,संक्रमण,,
infection fatality rate ,संक्रमण मृत्यु दर,,
Infectious Disease,संक्रामक रोग ,,
Influenza,सरुवा रुगाखोकी,,
Intensive Care Unit (ICU),गहन सेवा युनिट (आईसीयू),,Q5094647
Isolation Center,आइसोलेसन सेन्टर,,
Lockdown,बन्दाबन्दि,,
Measles,दादुरा,,
Medicine,औषधी,,
Mental Depression,मानसिक चिन्ता,,
Mild Symptoms,हल्का लक्षण ,,
Misinformation,गलत सूचना,,
Mitigation,न्यूनीकरण ,,
Mortality Rate,मृत्यु दर ,,
Multi-organ Failure,धेरै अंगहरु खराब हुनु ,,
N95 Mask,N95 मास्क,,
Nasal Swab,नाकबाट निकालिएको स्वाब ,,Q97464572
National Emergency,राष्ट्रिय संकट ,,
National Public Health Laboratory,राष्ट्रिय जन स्वास्थ्य प्रयोगशाला ,,
Neurologic,स्नायुशास्त्र,,
Non-specific Symptoms,असामान्य लक्षण,,
Novel Coronavirus,नोभल कोरोना भाइरस,,
Outbreak,प्रकोप,,
Overcrowding Hospitals,भीडभाड भएका  अस्पताल ,,
Pandemic,महामारी,,
Patient Zero,पहिलो सङ्क्रमित ,,Q1639798
Patients Diagnosed,निदान गरिएका बिरामी ,,
PCR Testing,पीसीआर परीक्षण,,
Person-to-person Spread,व्यक्ति व्यक्ति बीचको फैलावट,,
Personal Protective Equipment (PPE),व्यक्तिगत सुरक्षा सामग्री (पी.पी.इ),,
Polymerase Chain Reaction (PCR),पोलीमेरेज चेन रिएक्शन (पीसीआर),,
Positive Case,पोजिटिभ केस,,Q97464387
Postpone,स्थगित,,
Precautions,सावधानी,,
Presumptive Cases,सम्भावित बिरामीहरु,,
Protective Bubble,सुरक्षा घेरा ,,
