Keyword_English,Keyword_Nepali,Description_English,Description_Nepali
Case fatality rate,मृत्यु दर,the ratio of deaths from COVID-19 to the total number of individuals diagnosed with the disease.,रोग लागे पश्चात मृत्यु  हुने दर
Clinical trial,क्लिनिकल ट्रायल,research experiments on human participants designed to answer questions about new treatments.,नयाँ खोपको प्रभावकारिताको मानव परिक्षण 
Community spread,सामुदायीक संक्रमण,the spread of a contagious disease in a geographic area in which there is no knowledge of how someone contracted the disease.,प्रथम संक्रमित थाहा नभै सामुदायिक संक्रमण देखिनु
Confirmed positive case,संक्रमण देखिएको केस,"in contrast to a presumptive positive case, this is confirmation from the Centers for Disease Control and Prevention (CDC) of a positive COVID-19 test in an individual.",संक्रमण पुष्टि भएको बिरामी
Conspiracy theory,षडयन्त्रको सिद्धान्त,Explanation of an event or situation that invokes a conspiracy,
Contact tracing,सम्पर्क ट्रेसि,"identifying and monitoring people who may have come into contact with an infectious person. In the case of COVID-19, monitoring usually involves self-quarantine as an effort to control the spread of disease.",संक्रमित संग सम्पर्कमा आएकाको पहिचान तथा निगरानी
Containment area,रोकथामको लागी नियन्त्रित क्षेत्र,a geographical zone with limited access in or out in an effort to contain an outbreak.,रोगको फैलावट रोक्न घेराबन्दी गरिएको ठाउँ
Coronavirus,कोरोनाभाइरस,"A family of viruses, seven of which are known to infect people. SARS CoV-2, the coronavirus virus first discovered in December 2019, causes the disease now known as COVID-19.",मानिसमा सर्ने ताज आकारका भाइरस
COVID-19,कोभिड-१९,"COVID-19 stands for novel coronavirus disease 2019, which refers to the year of its initial detection.",सन् २०१९ मा देखिएको नयाँ कोरोना भाइरस
COVID-19 testing,कोभिड-१९ को परीक्षण,diagnostic testing for the respiratory illness COVID-19 and the underlying pathogen SARS-CoV-2 coronavirus,
COVID-19 vaccine,कोभिड-१९ को खोप,hypothetical vaccine against coronavirus,कोरोनाभाइरस विरूद्धको खोप
Disease hotspot,रोगको केन्द्रबिन्दु,a place experiencing high disease infection rates or burden from disease,रोगबाट उच्च संक्रमण भएको ठाउँ
Epidemic,महामारी,a widespread occurrence of an infectious disease in a community or geographic area.,समुदाय वा ठुलो क्षेत्रमा फैलिएको सरुवा रोग 
Epidemiology,महामारी विज्ञान,"a branch of medicine which deals largely with public health, including the incidence, distribution, analysis and control of diseases.",सरुवा रोग तथा महामारीको अध्ययन अनुसन्धान गर्ने जनस्वाथ्य बिज्ञान
Fake news,गलत समाचार,form of news consisting of deliberate disinformation or hoaxes spread via traditional news media or online social media,सामाजिक सञ्जाल र  संचार मध्यम मार्फत जानाजानी गलत जानकारी प्रसारित गर्ने
Flattening the curve,बक्ररेखालाई समतल पार्नु ,"an attempt to create a more gradual uptick of cases, rather than a steep rise, in an effort to avoid overburdening the health care system all once. Notably, “flattening the curve” does not necessarily decrease the projected number of cases, but spreads them out over a period of time.",एकै साथ अत्याधिक संक्रमण हुनबाट रोक्नु
