Hospital Name,Address,Contact Number,Email Address,Website
Aashas Health Care,"Jawalakhel, Lalitpur",01-5554999,reception@aashas.com.np,https://www.aashas.com.np/
Advanced Medicare Hospital (AMC),"Birta, Birgunj, Parsa",01-525316/527449,N/A,N/A
Advanced Poly Clinic (Kathmandu),"Pani Pokhari, Kathmandu",01-4431078/4443386,info@apc.com.np,https://apc.com.np/
Advanced Poly Clinic (Pokhara),"New Road, Pokhara",061-522985/522986,info@apc.com.np,https://apc.com.np/
Ajasrika Ayurveda and Panchakarma Centre,"Bhaisepati, Lalitpur",01-5114187,info@ayurvedacenternepal.com,http://ayurvedacenternepal.com/
Amppipal Community Hospital,"Amppipal, Gorkha",N/A,N/A,N/A
Anand Ban Leprosy Hospital,"Tika Bhairab, Lele, Lalitpur",01-6218398,info@tlmnepal.org,https://tlmnepal.org/
Annapurna Neurological Institute & Allied Sciences,"Maitighar Mandala, Kathmandu",01-4256656/4256568,neuronepal@gmail.com,https://www.annapurnahospitals.com
Arbuda Rog Nibaran Sanstha,"Bagbazar, Kathmandu",01-4220778,N/A,http://www.ncrs.org.np/
Arghakhanchi Hospital,Arghakhanchi,N/A,N/A,N/A
Ayurveda Health Home,"Dhapasi-07, Tilingatar",01-4355144 ,info@ayurveda.com.np,https://ayurveda.com.np/
Ayurvedic Hospital Nardevi,"Nardevi, Kathmandu",01-4231444/01-4256883,info@nah.gov.np,http://www.nah.gov.np/
B & B Hospital Pvt. Ltd,"Gwarko, Kathmandu",01-5531933/5531930,bbhospital@wlink.com.np,www.bbhospital.com.np
B.P. Koirala Institute of Health Sciences,"Dharan Sub-Metropolitan, Sunsari",025-525555,bpkihs@bpkihs.edu,www.bpkihs.edu
B.P. Koirala Memorial Cancer Hospital,"Bharatpur, Nepal",056-524501,admin@bpkmch.org.np,http://www.bpkmch.org.np/
Children's Hospital for Eye Ear and Rehabilitation Services (CHEERS),"Manohara, Bhaktapur",01-6631705/6639736,cheers_bpef@yahoo.com,www.bpeyefoundation.org
Balaju Swasthya Clinic,"Balaju, Kathmandu",N/A,N/A,N/A
