Name,Address,Contact Number,Contact Email,Website
Universities,,,,
Agriculture and Forestry University,"Rampur, Chitwan",56-591655/591777,admin@afu.edu.np,https://www.afu.edu.np/
Far-western University,"Mahendranagar, Kanchanpur",99-520729,info@fwu.edu.np,http://fwu.edu.np/
Kathmandu University,"Dhulikhel, Kavre",11-415100/415200,info@ku.edu.np,https://www.ku.edu.np/
Lumbini Buddhist University,"Parsa Chauraha, Lumbini",71-404088,info@lbu.edu.np,https://lbu.edu.np/
Madan Bhandari University of Science and Technology,"Saibu, Bhaisepati, Lalitpur",9840088016,info@mbustb.org,https://mbustb.org
Mid Western University,Birendranagar-9 Surkhet,083-524681/525444/525333,info@mwu.edu.np,https://www.mwu.edu.np/
Nepal Open University,"Manbhawan, Lalitpur",01-5008047,info@nou.edu.np,https://nou.edu.np/
Nepal Sanskrit University,"Beljhundi, Dang",082-400081,info@nsu.edu.np,https://nsu.edu.np/
Pokhara University,"Lekhnath, Kaski",61-504046/504039,info@pu.edu.np,https://pu.edu.np/
Purbanchal University,"Puspalal Chowk, Biratnagar",021-463701,puinfo.adm@gmail.com,http://www.purbanchaluniversity.edu.np/
Rajarshi Janak University,"Janakpurdham-8, Dhanusha",041-528499,rajarshijanakuniversity@gmail.com,https://www.rju.edu.np/
Tribhuvan University,"Kirtipur, Kathmandu",01-4330346,info@tu.edu.np,http://tribhuvan-university.edu.np/
Research Institutions,,,,
Asta-Ja Research and Development Center,"Dhumbarahii, Kathmandu, Nepal",9851174613,N/A,https://astajardcnepal.org/
ICIMOD,"Lalitpur, Nepal",01-5275223,N/A,https://www.icimod.org/
Center for Health and Disease Studies Nepal,"Sankhamul, Baneshwor",9863329528,info@chdsnepal.org,http://www.chdsnepal.org/
Center for Molecular Dynamics Nepal,"Thapathali Road, Kathmandu",01-4251590,N/A,https://www.cmdn.org.np/
Research Institute for Bioscience and Biotechnology,"Ekantakuna, Lalitpur",9841804369,N/A,http://ribb.org.np/
Kathmandu Research Institute for Biological Sciences (KRIBS),"Mahalaxmi Muncipality 19, Lalitpur",N/A,info@kribs.org.np,https://kribs.org.np/
Nepal Centre for Contemporary Research (NCCR),"Ekantakuna, Jawalakhel, Lalitpur",01-5000053,apsara@nccr.org.np,http://www.nccr.org.np
Nepal Research and Education Network (NREN),"Shrinkhala Galli, Sahayoginagar, Kathmandu",01-4154962,N/A,https://www.nren.net.np
Nepal Development Research Institute,"Shree Durbar Tole, Pulchowk, Lalitpur",01-5537362/5554975,info@ndri.org.np,http://www.ndri.org.np/
Patan Academy of Health Sciences,"Lagankhel, Lalitpur",01-5545112/5545153,pahs@pahs.edu.np,https://www.pahs.edu.np/
"Center for Research on Environment, Health and Population Activities (CREHPA)","Kusunti, Lalitpur",01-5193017/5193087,crehpa@crehpa.org.np,https://crehpa.org.np/
Nepal Institute for Social and Environmental Research (NISER),"Dibyanagar, Kusunti, Lalitpur",01-5185298,info@niser.com.np,http://niser.com.np
"Kathmandu Center for Research and Education, CAS-TU",N/A,N/A,N/A,http://en.kcre.ac.cn/
National Institute for Development and Research Pvt. Ltd.,"New Baneshwor, Shankhamul Road",01-4782977,info.nidr@gmail.com,http://nidr.com.np
Nepal Environmental Research Institute (NERI),"Tarakeshwor Municipality, Kathmandu",01-4026373,info@neri.com.np,https://www.neri.com.np/
"Research and Development Centre, Nepal (RDC Nepal)","Maitrinagar, Kathmandu",01-5154192/515407,info@rdcnepal.org.np,https://rdcnepal.org.np/
Nepal Academy of Science and Technology (NAST),"Khumaltar, Lalitpur, Nepal",01-5547715/5547717,info@nast.org.np,https://nast.gov.np/
Institute for Strategic and Socio-Economic Research (ISSR),"Yak and Yeti Marg, Kathmandu",01-4229985/4229986,info@issr.org.np,http://issr.org.np/
Institute for Integrated Development Studies (IIDS),"Mandikhatar, Kathmandu",01-4371006/4378831,info@iids.org.np,https://www.iids.org.np/
Institute of Foreign Affairs,Tripureshwor Kathmandu,01-4266954,ifa7nepal@gmail.com,https://ifa.org.np
Nepal Economic Forum,"Krishna Galli, Lalitpur",1 5548400,info@nepaleconomicforum.org,https://nepaleconomicforum.org
National Research Council Nepal,"New Baneshwor-10, Kathmandu",01-5244781,info@nrcn.edu.np,http://www.nrcn.edu.np/
Research Centre for Educational Innovation and Development (CERID),"Balkhu, Kathmandu",01-4286732,info@cerid.org,https://www.cerid.org/
Nepal Health Research Council,"Ramshah Path, Kathmandu",01-4254220,editor@jnhrc.com.np,https://www.jnhrc.com.np
Research Centre for Applied Science and Technology (RECAST),"Kritipur, Kathmandu",01-4330348,info@recast.edu.np,https://recast.edu.np/
Nick Simons Institute,"Sanepa, Lalitpur",01-5520322/5550318,nsi@nsi.edu.np,http://www.nsi.edu.np/en
Martin Chautari,"Thapathali, Kathmandu",01-4238050/4102027,chautari@mos.com.np,http://www.martinchautari.org.np/
